CATEGORY,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,SAMPLES,CURRENT_A,VOLTAGE_V,GAS_BAR,ROBOT_SPEED_CPM,DIRECTORY,SUBDIRS,SPLIT
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0432-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,22.0,4.0,30,good_weld_12_10-20-22_Plane_Plate,good_weld_12_10-20-22_Plane_Plate/10-20-22-0102-00,TRAIN
Good,NON_FILLET,7,FE410,18,150,22.0,4.0,30,good_weld_22_12-13-22_butt,good_weld_22_12-13-22_butt/12-13-22-0308-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0180-00,TRAIN
Good,NON_FILLET,7,FE410,16,160,21.0,4.0,30,good_weld_17_11-18-22_plane_plate,good_weld_17_11-18-22_plane_plate/11-18-22-0209-00,TRAIN
Good,FILLET,7,FE410,17,165,19.0,3.8,25,good_weld_6_02-17-23_Fe410,good_weld_6_02-17-23_Fe410/02-17-23-0115-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,21.0,4.0,30,good_weld_27_12-13-22_butt,good_weld_27_12-13-22_butt/12-13-22-0406-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0171-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0371-00,TRAIN
Good,NON_FILLET,7,FE410,10,170,24.0,4.0,30,good_weld_16_11-18-22_plane_plate,good_weld_16_11-18-22_plane_plate/11-18-22-0189-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,21.0,4.0,30,good_weld_27_12-13-22_butt,good_weld_27_12-13-22_butt/12-13-22-0408-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_6_09-26-22_plane_plate,good_weld_6_09-26-22_plane_plate/09-26-22-0062-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0044-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_10_09-29-22_butt,good_weld_10_09-29-22_butt/09-30-22-0078-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0372-00,TRAIN
Good,NON_FILLET,7,FE410,19,160,23.0,4.0,30,good_weld_9_09-29-22_butt,good_weld_9_09-29-22_butt/09-30-22-0046-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0015-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0351-00,TRAIN
Good,NON_FILLET,7,FE410,18,150,22.0,4.0,30,good_weld_22_12-13-22_butt,good_weld_22_12-13-22_butt/12-13-22-0301-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,22.0,4.0,30,good_weld_12_10-20-22_Plane_Plate,good_weld_12_10-20-22_Plane_Plate/10-20-22-0114-00,TRAIN
Good,FILLET,7,FE410,5,155,18.0,3.5,25,3_good_weld_4_02-14-23_Fe410,3_good_weld_4_02-14-23_Fe410/04-01-23-0025-00,TRAIN
Good,FILLET,7,FE410,19,165,21.0,4.5,25,2_good_weld_2_02-09-23_Fe410,2_good_weld_2_02-09-23_Fe410/04-01-23-0023-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_10_09-29-22_butt,good_weld_10_09-29-22_butt/09-30-22-0068-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,21.0,4.0,30,good_weld_11_10-20-22_Plane_Plate,good_weld_11_10-20-22_Plane_Plate/10-20-22-0085-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_13_10-20-22_Plane_Plate,good_weld_13_10-20-22_Plane_Plate/10-20-22-0131-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_7_09-29-22_butt,good_weld_7_09-29-22_butt/09-29-22-0006-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0439-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0178-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0060-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,21.0,4.0,30,good_weld_21_12-13-22_butt,good_weld_21_12-13-22_butt/12-13-22-0290-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0437-00,TRAIN
Good,NON_FILLET,7,FE410,16,160,21.0,4.0,30,good_weld_17_11-18-22_plane_plate,good_weld_17_11-18-22_plane_plate/11-18-22-0203-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,19.0,4.0,30,good_weld_26_12-13-22_butt,good_weld_26_12-13-22_butt/12-13-22-0384-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,23.0,4.0,30,good_weld_5_09-26-22_plane_plate,good_weld_5_09-26-22_plane_plate/09-26-22-0045-00,TRAIN
Good,NON_FILLET,7,FE410,20,140,19.0,4.0,30,good_weld_20_11-20-22_plane_plate,good_weld_20_11-20-22_plane_plate/11-20-22-0277-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0174-00,TRAIN
Good,FILLET,7,FE410,15,155,18.0,3.5,25,good_weld_4_02-14-23_Fe410,good_weld_4_02-14-23_Fe410/02-14-23-0073-00,TRAIN
Good,FILLET,7,FE410,19,165,21.0,4.5,25,2_good_weld_2_02-09-23_Fe410,2_good_weld_2_02-09-23_Fe410/04-01-23-0020-00,TRAIN
Good,NON_FILLET,7,FE410,18,150,22.0,4.0,30,good_weld_22_12-13-22_butt,good_weld_22_12-13-22_butt/12-13-22-0310-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-17-23-0093-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0450-00,TRAIN
Good,FILLET,7,FE410,17,165,19.0,3.8,25,good_weld_6_02-17-23_Fe410,good_weld_6_02-17-23_Fe410/02-17-23-0105-00,TRAIN
Good,FILLET,7,FE410,10,165,20.0,4.0,25,5_good_weld_7_02-17-23_Fe410,5_good_weld_7_02-17-23_Fe410/04-01-23-0041-00,TRAIN
Good,NON_FILLET,7,FE410,10,170,24.0,4.0,30,good_weld_16_11-18-22_plane_plate,good_weld_16_11-18-22_plane_plate/11-18-22-0183-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0441-00,TRAIN
Good,FILLET,7,FE410,19,165,21.0,4.5,25,2_good_weld_2_02-09-23_Fe410,2_good_weld_2_02-09-23_Fe410/04-01-23-0014-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0175-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0422-00,TRAIN
Good,NON_FILLET,7,FE410,10,170,24.0,4.0,30,8_good_weld_plane_plate,8_good_weld_plane_plate/12-31-22-0002-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,23.0,4.0,30,good_weld_5_09-26-22_plane_plate,good_weld_5_09-26-22_plane_plate/09-26-22-0041-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-17-23-0098-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,22.0,4.0,30,good_weld_12_10-20-22_Plane_Plate,good_weld_12_10-20-22_Plane_Plate/10-20-22-0109-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0031-00,TRAIN
Good,NON_FILLET,7,FE410,20,140,19.0,4.0,30,good_weld_20_11-20-22_plane_plate,good_weld_20_11-20-22_plane_plate/11-20-22-0275-00,TRAIN
Good,FILLET,7,FE410,5,170,21.0,4.5,25,1_good_weld_1_02-09-23_Fe410,1_good_weld_1_02-09-23_Fe410/04-01-23-0004-00,TRAIN
Good,NON_FILLET,7,FE410,20,140,19.0,4.0,30,good_weld_20_11-20-22_plane_plate,good_weld_20_11-20-22_plane_plate/11-20-22-0271-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0359-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_6_09-26-22_plane_plate,good_weld_6_09-26-22_plane_plate/09-26-22-0067-00,TRAIN
Good,NON_FILLET,7,FE410,20,180,24.0,4.0,30,good_weld_08_17_22_plane_plate,good_weld_08_17_22_plane_plate/08-17-22-0004-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0029-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_23_12-13-22_butt,good_weld_23_12-13-22_butt/12-13-22-0327-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0455-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_23_12-13-22_butt,good_weld_23_12-13-22_butt/12-13-22-0335-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0374-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_13_10-20-22_Plane_Plate,good_weld_13_10-20-22_Plane_Plate/10-20-22-0135-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_23_12-13-22_butt,good_weld_23_12-13-22_butt/12-13-22-0338-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_13_10-20-22_Plane_Plate,good_weld_13_10-20-22_Plane_Plate/10-20-22-0132-00,TRAIN
Good,NON_FILLET,7,FE410,20,180,24.0,4.0,30,good_weld_08_17_22_plane_plate,good_weld_08_17_22_plane_plate/08-17-22-0019-00,TRAIN
Good,NON_FILLET,7,FE410,20,140,18.0,4.0,30,good_weld_19_11-20-22_plane_plate,good_weld_19_11-20-22_plane_plate/11-20-22-0255-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0021-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,19.0,4.0,30,good_weld_26_12-13-22_butt,good_weld_26_12-13-22_butt/12-13-22-0398-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_7_09-29-22_butt,good_weld_7_09-29-22_butt/09-29-22-0011-00,TRAIN
Good,FILLET,7,FE410,10,165,20.0,4.0,25,5_good_weld_7_02-17-23_Fe410,5_good_weld_7_02-17-23_Fe410/04-01-23-0038-00,TRAIN
Good,NON_FILLET,7,FE410,10,170,24.0,4.0,30,8_good_weld_plane_plate,8_good_weld_plane_plate/12-31-22-0007-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-17-23-0100-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0035-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0055-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-16-23-0092-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0002-00,TRAIN
Good,FILLET,7,FE410,10,165,20.0,4.0,25,good_weld_7_02-17-23_Fe410,good_weld_7_02-17-23_Fe410/02-17-23-0126-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,21.0,4.0,30,good_weld_11_10-20-22_Plane_Plate,good_weld_11_10-20-22_Plane_Plate/10-20-22-0097-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_14_10-21-22_Plane_Plate,good_weld_14_10-21-22_Plane_Plate/10-21-22-0143-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_13_10-20-22_Plane_Plate,good_weld_13_10-20-22_Plane_Plate/10-20-22-0139-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0059-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-16-23-0084-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_6_09-26-22_plane_plate,good_weld_6_09-26-22_plane_plate/09-26-22-0065-00,TRAIN
Good,NON_FILLET,7,FE410,20,140,18.0,4.0,30,good_weld_19_11-20-22_plane_plate,good_weld_19_11-20-22_plane_plate/11-20-22-0253-00,TRAIN
Good,FILLET,7,FE410,15,170,21.0,4.5,25,good_weld_1_02-09-23_Fe410,good_weld_1_02-09-23_Fe410/02-09-23-0006-00,TRAIN
Good,FILLET,7,FE410,15,170,21.0,4.5,25,good_weld_1_02-09-23_Fe410,good_weld_1_02-09-23_Fe410/02-09-23-0009-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0032-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0373-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0038-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0358-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,23.0,4.0,30,good_weld_5_09-26-22_plane_plate,good_weld_5_09-26-22_plane_plate/09-26-22-0046-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_23_12-13-22_butt,good_weld_23_12-13-22_butt/12-13-22-0323-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,21.0,4.0,30,good_weld_21_12-13-22_butt,good_weld_21_12-13-22_butt/12-13-22-0300-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,22.0,4.0,30,good_weld_12_10-20-22_Plane_Plate,good_weld_12_10-20-22_Plane_Plate/10-20-22-0106-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0038-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0379-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,21.0,4.0,30,good_weld_27_12-13-22_butt,good_weld_27_12-13-22_butt/12-13-22-0405-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_14_10-21-22_Plane_Plate,good_weld_14_10-21-22_Plane_Plate/10-21-22-0159-00,TRAIN
Good,FILLET,7,FE410,15,170,21.0,4.5,25,good_weld_1_02-09-23_Fe410,good_weld_1_02-09-23_Fe410/02-09-23-0018-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_14_10-21-22_Plane_Plate,good_weld_14_10-21-22_Plane_Plate/10-21-22-0149-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0007-00,TRAIN
Good,FILLET,7,FE410,10,165,20.0,4.0,25,5_good_weld_7_02-17-23_Fe410,5_good_weld_7_02-17-23_Fe410/04-01-23-0037-00,TRAIN
Good,FILLET,7,FE410,15,155,18.0,3.5,25,good_weld_4_02-14-23_Fe410,good_weld_4_02-14-23_Fe410/02-14-23-0079-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,21.0,4.0,30,good_weld_27_12-13-22_butt,good_weld_27_12-13-22_butt/12-13-22-0414-00,TRAIN
Good,NON_FILLET,7,FE410,19,180,24.0,4.0,30,good_weld_08_11_22_butt_joint,good_weld_08_11_22_butt_joint/08-11-22-0009-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0426-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0037-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0023-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0365-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_6_09-26-22_plane_plate,good_weld_6_09-26-22_plane_plate/09-26-22-0061-00,TRAIN
Good,FILLET,7,FE410,17,165,19.0,3.8,25,good_weld_6_02-17-23_Fe410,good_weld_6_02-17-23_Fe410/02-17-23-0108-00,TRAIN
Good,NON_FILLET,7,FE410,19,160,23.0,4.0,30,good_weld_9_09-29-22_butt,good_weld_9_09-29-22_butt/09-29-22-0042-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0043-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_18_11-18-22_plane_plate,good_weld_18_11-18-22_plane_plate/11-20-22-0233-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0353-00,TRAIN
Good,NON_FILLET,7,FE410,16,160,21.0,4.0,30,good_weld_17_11-18-22_plane_plate,good_weld_17_11-18-22_plane_plate/11-18-22-0213-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_10_09-29-22_butt,good_weld_10_09-29-22_butt/09-30-22-0067-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0367-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0012-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0010-00,TRAIN
Good,NON_FILLET,7,FE410,4,160,21.0,4.0,30,9_good_weld_plane_plate,9_good_weld_plane_plate/12-31-22-0012-00,TRAIN
